blue_cube_count,episodes,successful_episodes,failed_episodes,success_rate_pct,trajectory_points,mean_frames,mean_duration_s,mean_path_length_m,median_path_length_m,recovery_planned_episodes,recovery_completed_episodes,solver_recovery_attempts,x_min_m,x_max_m,x_span_m,y_min_m,y_max_m,y_span_m,z_min_m,z_max_m,z_span_m
1,186,179,7,96.23655913978494,58415,314.05913978494624,20.870609318996415,1.142388020660117,1.101902679985413,16,16,13,0.3520117998123169,0.7115081548690796,0.3594963550567627,-0.32721972465515137,0.32685112953186035,0.6540708541870117,0.026958376169204712,0.53922039270401,0.5122620165348053
2,192,166,26,86.45833333333333,118520,617.2916666666666,41.086111111111116,2.1790283714747978,2.089912213370999,30,16,41,0.36353111267089844,0.6874445676803589,0.32391345500946045,-0.321735143661499,0.3277914524078369,0.6495265960693359,0.024626411497592926,0.5449382662773132,0.5203118547797203
3,222,172,50,77.47747747747748,195581,880.9954954954954,58.66636636636637,3.133694695944948,3.0940638062813397,65,24,70,0.35874080657958984,0.7270190715789795,0.36827826499938965,-0.3713878393173218,0.33156466484069824,0.70295250415802,0.025372013449668884,0.5444222688674927,0.5190502554178238
