episode_id,blue_cube_count,target_index,successful,x_m,y_m,z_m,position_stratum,tray_x_m,tray_y_m
episode_000001,1,0,True,0.619807319708819,-0.003978246931990628,0.026,20,0.51,-0.2305947765230142
episode_000002,3,0,True,0.42680475473795726,-0.10900468740153083,0.026,1,0.51,0.13398331289744977
episode_000002,3,1,True,0.5435804156641101,-0.26946455119677587,0.026,12,0.51,0.13398331289744977
episode_000002,3,2,True,0.5693316900789163,0.3017470323714142,0.026,17,0.51,0.13398331289744977
episode_000003,3,0,True,0.41812531527531505,-0.11699299580474669,0.026,1,0.51,0.1793892991969486
episode_000003,3,1,True,0.5856725826447237,-0.02943866232844361,0.026,14,0.51,0.1793892991969486
episode_000003,3,2,True,0.42029265971008245,0.007090373932665759,0.026,3,0.51,0.1793892991969486
episode_000004,3,0,True,0.37552256102014586,-0.2328576481432591,0.026,0,0.51,0.18198214333682902
episode_000004,3,1,True,0.52267974038871,0.004860830085651326,0.026,15,0.51,0.18198214333682902
episode_000004,3,2,True,0.6286875925381622,-0.12843773759133303,0.026,19,0.51,0.18198214333682902
episode_000005,2,0,True,0.5593127206517106,0.2887998834572667,0.026,17,0.51,-0.2305947765230142
episode_000005,2,1,True,0.39632822600221157,-0.032312804406244275,0.026,2,0.51,-0.2305947765230142
episode_000006,1,0,True,0.6424887013154892,-0.05954401374433041,0.026,20,0.51,0.13398331289744977
episode_000007,1,0,True,0.6150040085351142,0.00746360429305832,0.026,21,0.51,0.1793892991969486
episode_000008,3,0,True,0.41971312551016265,-0.042603373077496044,0.026,2,0.51,0.18198214333682902
episode_000008,3,1,True,0.5496309809233154,0.0036571900159654814,0.026,15,0.51,0.18198214333682902
episode_000008,3,2,True,0.6464319490704381,-0.16927033066431707,0.026,19,0.51,0.18198214333682902
episode_000009,3,0,False,0.39237613076952765,0.1513074964964047,0.026,4,0.51,-0.2305947765230142
episode_000009,3,1,False,0.5710207241119308,0.21373927824615596,0.026,17,0.51,-0.2305947765230142
episode_000009,3,2,False,0.6202087316896443,-0.02999878334147328,0.026,20,0.51,-0.2305947765230142
episode_000010,2,0,True,0.5420118810042627,-0.22095168727248718,0.026,12,0.51,0.13398331289744977
episode_000010,2,1,True,0.3951771840221372,-0.058347268906332586,0.026,2,0.51,0.13398331289744977
episode_000011,3,0,True,0.3947259602471907,0.005213033272955315,0.026,3,0.51,0.1793892991969486
episode_000011,3,1,True,0.5161214242295883,-0.1577206034240084,0.026,13,0.51,0.1793892991969486
episode_000011,3,2,True,0.5929457594789742,-0.024380773395285563,0.026,20,0.51,0.1793892991969486
episode_000012,1,0,True,0.6426513279549628,0.005258130772656808,0.026,21,0.51,0.18198214333682902
episode_000013,1,0,True,0.6170669504090704,0.2243762567120725,0.026,23,0.51,-0.2305947765230142
episode_000014,1,0,True,0.6172462937309833,-0.17390197332628496,0.026,19,0.51,0.13398331289744977
episode_000015,1,0,True,0.5033324901127465,-0.178318827635985,0.026,7,0.51,0.1793892991969486
episode_000016,3,0,False,0.5806983226655603,-0.15315153564268985,0.026,13,0.51,0.18198214333682902
episode_000016,3,1,False,0.5941857310253745,-0.29990073563095715,0.026,18,0.51,0.18198214333682902
episode_000016,3,2,False,0.5111707899639887,0.010331655247815782,0.026,9,0.51,0.18198214333682902
episode_000017,2,0,True,0.565290577818033,-0.03699834196763985,0.026,14,0.51,-0.2305947765230142
episode_000017,2,1,True,0.38131085602999554,0.19968101278840605,0.026,4,0.51,-0.2305947765230142
episode_000018,2,0,True,0.5176581726402961,-0.14989966716703126,0.026,13,0.51,0.13398331289744977
episode_000018,2,1,True,0.3840135206658996,-0.27022826205647466,0.026,0,0.51,0.13398331289744977
episode_000019,2,0,True,0.5712973321127272,-0.0923591024217903,0.026,14,0.51,0.1793892991969486
episode_000019,2,1,True,0.40774384866566477,0.005549200396524967,0.026,3,0.51,0.1793892991969486
episode_000020,2,0,True,0.5531882049051098,0.0001431208459150279,0.026,15,0.51,0.18198214333682902
episode_000020,2,1,True,0.4344713238345651,-0.22787920738270728,0.026,0,0.51,0.18198214333682902
episode_000021,2,0,True,0.4560890302117748,0.25950989954366865,0.026,11,0.51,-0.2305947765230142
episode_000021,2,1,True,0.6219175869159521,-0.05876393959119924,0.026,20,0.51,-0.2305947765230142
episode_000022,3,0,True,0.5229632648334835,-0.13934650260637932,0.026,13,0.51,0.13398331289744977
episode_000022,3,1,True,0.6585992437721027,-0.0390578499277078,0.026,20,0.51,0.13398331289744977
episode_000022,3,2,True,0.39669354082632835,-0.1577588310820292,0.026,1,0.51,0.13398331289744977
episode_000023,1,0,True,0.4673286352763247,-0.016934965001381128,0.026,8,0.51,0.1793892991969486
episode_000024,2,0,False,0.4629316798180305,0.002716979061296569,0.026,9,0.51,0.18198214333682902
episode_000024,2,1,False,0.6024566453675761,-0.053710027734547125,0.026,20,0.51,0.18198214333682902
episode_000025,2,0,True,0.5023415649300155,-0.05115298538785933,0.026,8,0.51,-0.2305947765230142
episode_000025,2,1,True,0.6110808256995195,0.18799783723348518,0.026,22,0.51,-0.2305947765230142
episode_000026,3,0,True,0.5392006863462813,-0.2799491778661805,0.026,12,0.51,0.13398331289744977
episode_000026,3,1,True,0.5045309746515311,0.3008401273476568,0.026,11,0.51,0.13398331289744977
