episode_id,blue_cube_count,progress_stage,num_remaining,target_index,successful,x_m,y_m,z_m,position_stratum,tray_x_m,tray_y_m
episode_000056,2,0,2,0,False,0.4640867797927308,0.015616480767991459,0.026,9,0.51,0.199856978609068
episode_000056,2,0,2,1,False,0.5198613577243354,-0.18643326129968235,0.026,13,0.51,0.199856978609068
episode_000058,1,0,1,0,True,0.5281334865329546,-0.2053016473538301,0.026,12,0.51,0.21146746279684422
episode_000059,1,0,1,0,True,0.5572060001792529,0.08645189739693648,0.026,15,0.51,-0.1830017277641439
episode_000061,2,0,2,0,True,0.4890347768775347,0.29042053886410535,0.026,11,0.51,-0.16525924989546875
episode_000061,2,0,2,1,True,0.5254907908397657,0.08662854986040407,0.026,15,0.51,-0.16525924989546875
episode_000063,1,0,1,0,True,0.46868248755884684,0.18807364318727648,0.026,10,0.51,-0.1830017277641439
episode_000066,1,0,1,0,True,0.46136235479978754,-0.011635463398713214,0.026,8,0.51,0.21146746279684422
episode_000070,1,0,1,0,True,0.4930924114247954,-0.0028621056459766786,0.026,8,0.51,0.21146746279684422
episode_000071,1,0,1,0,True,0.448519539487144,0.22089956795260343,0.026,11,0.51,-0.1830017277641439
episode_000072,2,0,2,0,True,0.4184037680105279,-0.2899788866330676,0.026,0,0.51,0.199856978609068
episode_000072,2,0,2,1,True,0.5892731155142692,-0.0955119588411144,0.026,20,0.51,0.199856978609068
episode_000074,1,0,1,0,True,0.47071244003070695,-0.23046772655184328,0.026,6,0.51,0.21146746279684422
episode_000075,2,0,2,0,True,0.40954253847884414,0.15429758013409722,0.026,4,0.51,-0.1830017277641439
episode_000075,2,0,2,1,True,0.6347288693072376,0.004074211720639681,0.026,21,0.51,-0.1830017277641439
episode_000076,1,0,1,0,True,0.5071539428356344,0.012681773500504001,0.026,9,0.51,0.199856978609068
episode_000079,1,0,1,0,True,0.6003704351175472,0.10164944393082648,0.026,22,0.51,-0.1830017277641439
episode_000080,2,1,1,1,True,0.6073858835808702,-0.28058024903928125,0.026,18,0.51,0.199856978609068
episode_000082,2,0,2,0,True,0.42785227739485343,-0.034073844149822605,0.026,2,0.51,0.21146746279684422
episode_000082,2,0,2,1,True,0.6035677925872172,-0.21902427891628318,0.026,18,0.51,0.21146746279684422
episode_000083,1,0,1,0,True,0.636347975593005,0.17477471046171042,0.026,22,0.51,-0.1830017277641439
episode_000084,2,1,1,0,True,0.4411724406018041,0.000985501572696146,0.026,3,0.51,0.199856978609068
episode_000085,1,0,1,0,True,0.6047770521244499,0.2128676568936358,0.026,23,0.51,-0.16525924989546875
episode_000086,2,0,2,0,True,0.4124623526198776,-0.24951395277457017,0.026,0,0.51,0.21146746279684422
episode_000086,2,0,2,1,True,0.59484774864949,-0.09985873887141276,0.026,19,0.51,0.21146746279684422
episode_000087,2,1,1,1,True,0.4672885085153056,-0.01086566231444834,0.026,8,0.51,-0.1830017277641439
episode_000088,2,0,2,0,True,0.5513873365175064,-0.14014567011465712,0.026,13,0.51,0.199856978609068
episode_000088,2,0,2,1,True,0.4781832635231914,0.01707635865354636,0.026,9,0.51,0.199856978609068
episode_000090,2,0,2,0,False,0.5613476738187098,-0.140964990664992,0.026,13,0.51,0.21146746279684422
episode_000090,2,0,2,1,False,0.511604959957772,-0.2951203012486775,0.026,6,0.51,0.21146746279684422
episode_000091,2,0,2,0,True,0.5295974760925872,-0.004937836723868952,0.026,14,0.51,-0.1830017277641439
episode_000091,2,0,2,1,True,0.49805974630307037,0.19655101486201698,0.026,10,0.51,-0.1830017277641439
episode_000092,1,0,1,0,True,0.6315979458859262,-0.2470671951995021,0.026,18,0.51,0.199856978609068
episode_000093,1,0,1,0,True,0.5888903128803248,0.0068486218115979105,0.026,21,0.51,-0.16525924989546875
episode_000096,1,0,1,0,True,0.6036769396677666,0.0042917397710897425,0.026,21,0.51,0.199856978609068
episode_000097,1,0,1,0,True,0.3785383547505792,0.10784487160899067,0.026,4,0.51,-0.16525924989546875
episode_000098,1,0,1,0,True,0.4042117216553099,-0.07405546986943912,0.026,2,0.51,0.21146746279684422
episode_000099,2,0,2,0,True,0.5500463040834253,0.08120790133213066,0.026,15,0.51,-0.1830017277641439
episode_000099,2,0,2,1,True,0.40819442592005306,0.19627309677601845,0.026,4,0.51,-0.1830017277641439
episode_000100,2,0,2,0,False,0.5153998992375125,-0.28298114091249693,0.026,12,0.51,0.199856978609068
episode_000100,2,0,2,1,False,0.44558700447952426,-0.13205896434617442,0.026,7,0.51,0.199856978609068
episode_000103,1,0,1,0,True,0.4153183533746879,-0.004922604093138855,0.026,2,0.51,-0.1830017277641439
episode_000108,1,0,1,0,True,0.43044863284147694,-0.20880836150532958,0.026,0,0.51,0.199856978609068
episode_000109,1,0,1,0,True,0.40260770155273323,0.07638367375631239,0.026,3,0.51,-0.16525924989546875
episode_000110,2,0,2,0,True,0.5934504438107743,-0.2474151507631383,0.026,18,0.51,0.21146746279684422
episode_000110,2,0,2,1,True,0.3719925564776002,-0.008456546585415156,0.026,2,0.51,0.21146746279684422
episode_000111,2,0,2,0,True,0.5982083797660009,0.1681562173682004,0.026,22,0.51,-0.1830017277641439
episode_000111,2,0,2,1,True,0.39067222695197457,0.0015175314689463272,0.026,3,0.51,-0.1830017277641439
episode_000113,1,0,1,0,True,0.42480693339164605,0.015166290268354895,0.026,3,0.51,-0.16525924989546875
episode_000114,2,0,2,0,True,0.6348584002278669,-0.16838420079952796,0.026,19,0.51,0.21146746279684422
episode_000114,2,0,2,1,True,0.37429943202133736,-0.2669959843213618,0.026,0,0.51,0.21146746279684422
episode_000115,1,0,1,0,True,0.5618185287513,0.19216434942213012,0.026,16,0.51,-0.1830017277641439
episode_000116,1,0,1,0,True,0.5395041407078163,-0.0542900542984516,0.026,14,0.51,0.199856978609068
