episode_id,blue_cube_count,red_cube_count,successful,completed,failed,scenario_mode,seed,progress_stage,num_blue_total,num_preplaced,num_remaining,preplaced_blue_cube_names,start_position_stratum,start_ee_position_fallback,start_ee_position_fallback_shift_m,start_ee_reached,start_ee_yaw_requested_deg,start_ee_yaw_offset_deg,start_ee_yaw_fallback_scale,start_ee_yaw_error_deg,start_ee_orientation_reached,trajectory_modes,recovery_planned,recovery_augmented,recovery_completed,solver_recovery_attempts,solver_recovery_total_attempts,failure_reason,failed_state,slot_index,frames,duration_s,path_length_m,displacement_m,x_min_m,x_max_m,x_span_m,y_min_m,y_max_m,y_span_m,z_min_m,z_max_m,z_span_m
episode_000001,2,2,True,True,False,blue_tray,91007,1,2,1,1,blue_cube_0,,False,0.0,True,37.1612,37.1612,1.0,2.4622,True,preplaced;direct,False,False,False,0,0,,,2,307,20.4,1.1219455084372858,0.13494159339061082,0.41973280906677246,0.5619335174560547,0.14220070838928223,-0.15656018257141113,0.22267568111419678,0.3792358636856079,0.03341044485569,0.2421858161687851,0.2087753713130951
episode_000002,2,2,True,True,False,blue_tray,91008,0,2,0,2,,57,False,0.0,True,,,,0.065,True,direct;direct,False,False,False,0,0,,,2,533,35.46666666666667,1.792677921616237,0.11631403664534426,0.398404598236084,0.6294524669647217,0.2310478687286377,-0.1657547950744629,0.11223030090332031,0.2779850959777832,0.03318740427494049,0.2822097837924957,0.24902237951755524
episode_000003,2,2,True,True,False,blue_tray,91009,1,2,1,1,blue_cube_1,,False,0.0,True,-29.1842,-29.1842,1.0,2.4328,True,direct;preplaced,False,False,False,0,0,,,2,214,14.2,0.8711113945265755,0.1314762197051818,0.4535355567932129,0.581633448600769,0.12809789180755615,-0.0004558563232421875,0.2429438829421997,0.2433997392654419,0.03195614367723465,0.26470643281936646,0.2327502891421318
episode_000004,2,2,True,True,False,blue_tray,91010,0,2,0,2,,31,False,0.0,True,,,,0.0726,True,direct;direct,False,False,False,0,0,,,2,507,33.733333333333334,1.830500792799159,0.43177363029451254,0.3973466157913208,0.5605472326278687,0.16320061683654785,-0.2009446620941162,0.26288318634033203,0.46382784843444824,0.03320746868848801,0.36101970076560974,0.32781223207712173
episode_000005,1,2,True,True,False,blue_tray,91011,0,1,0,1,,48,False,0.0,True,,,,0.1922,True,direct,False,False,False,0,0,,,1,295,19.6,1.1329775197115122,0.17906251786054758,0.5043363571166992,0.6417922973632812,0.13745594024658203,-0.14069151878356934,0.230857253074646,0.37154877185821533,0.03290638327598572,0.3424448072910309,0.30953842401504517
episode_000006,2,2,True,True,False,blue_tray,91012,1,2,1,1,blue_cube_1,,False,0.0,True,-6.6557,-6.6557,1.0,2.2991,True,direct;preplaced,False,False,False,0,0,,,2,243,16.133333333333333,0.9360701841255334,0.1151905879917233,0.45795607566833496,0.5625689029693604,0.10461282730102539,-0.16162657737731934,0.12505030632019043,0.28667688369750977,0.03302302956581116,0.23442161083221436,0.2013985812664032
episode_000007,1,2,True,True,False,blue_tray,91013,0,1,0,1,,57,False,0.0,True,,,,0.0674,True,direct,False,False,False,0,0,,,1,262,17.4,0.8365974826624807,0.41548221831232607,0.5084824562072754,0.6406385898590088,0.1321561336517334,-0.1287844181060791,0.24864935874938965,0.37743377685546875,0.03300638496875763,0.3020639419555664,0.2690575569868088
episode_000008,2,2,False,False,True,blue_tray,91014,0,2,0,2,,71,False,0.0,True,,,,0.045,True,recovery;direct,True,True,True,1,1,solver_recovery_exhausted,align_yaw,0,488,32.46666666666667,1.3179914480138604,0.4504430217688353,0.44585371017456055,0.6413342952728271,0.1954805850982666,0.0003085136413574219,0.2906222343444824,0.290313720703125,0.12322237342596054,0.4723331928253174,0.34911081939935684
episode_000009,2,2,False,False,True,blue_tray,91015,0,2,0,2,,0,False,0.0,True,,,,0.0829,True,direct;direct,False,False,False,0,0,transport_stall,place_descend,1,534,35.53333333333333,2.094814507705233,0.3528508781281001,0.37911057472229004,0.602794885635376,0.22368431091308594,-0.24011707305908203,0.22743308544158936,0.4675501585006714,0.03237128257751465,0.34190845489501953,0.3095371723175049
episode_000010,2,2,True,True,False,blue_tray,91016,0,2,0,2,,7,False,0.0,True,,,,0.0716,True,direct;direct,False,False,False,0,0,,,2,561,37.333333333333336,1.9489040501699115,0.291215322533305,0.4128732681274414,0.6115834712982178,0.19871020317077637,-0.14936137199401855,0.16301250457763672,0.3123738765716553,0.0292980894446373,0.4292922616004944,0.3999941721558571
episode_000011,2,2,False,False,True,blue_tray,91017,0,2,0,2,,6,False,0.0,True,,,,0.0625,True,direct;direct,False,False,False,0,0,transport_stall,place_descend,0,304,20.2,0.7793450032694912,0.3623762745428145,0.4296863079071045,0.4846363067626953,0.05494999885559082,-0.04129981994628906,0.23688483238220215,0.2781846523284912,0.031694017350673676,0.31991973519325256,0.2882257178425789
