blue_cube_count,progress_stage,num_preplaced,num_remaining,episodes,successful_episodes,failed_episodes,success_rate_pct,trajectory_points,mean_frames,mean_duration_s,mean_path_length_m
1,0,0,1,495,478,17,96.56565656565657,150990,305.030303030303,20.268686868686867,1.1201769816814369
2,0,0,2,1032,826,206,80.03875968992249,613404,594.3837209302326,39.558914728682176,2.142770970232118
2,1,1,1,473,453,20,95.77167019027485,137409,290.50528541226214,19.300352360817474,1.0665057676039431
